Date;Volumi MWh
09-2024;23.053.406,15
10-2024;22.873.690,62
11-2024;22.547.841,08
12-2024;23.230.672,86
01-2025;24.321.413,90
02-2025;22.373.424,40
03-2025;22.948.315,70
04-2025;20.612.648,80
05-2025;21.383.006,80
06-2025;24.043.106,30
07-2025;26.755.378,50
08-2025;22.651.674,60
09-2025;23.003.107,50
10-2025;22.811.084,95
11-2025;22.764.192,78
12-2025;23.504.648,23
01-2026;25.199.114,90
02-2026;22.638.873,55
03-2026;23.635.170,43
04-2026;21.203.202,30
05-2026;22.047.122,28
06-2026;3.652.153,83
