time,value
2019-08,67.2
2019-09,105.9
2019-10,108.4
2019-11,104.5
2019-12,85.4
2020-01,96.0
2020-02,100.4
2020-03,78.1
2020-04,54.9
2020-05,86.5
2020-06,91.1
2020-07,103.1
2020-08,66.8
2020-09,100.9
2020-10,106.3
2020-11,100.2
2020-12,84.1
2021-01,94.4
2021-02,100.2
2021-03,108.6
2021-04,98.9
2021-05,105.4
2021-06,104.1
2021-07,111.2
2021-08,66.9
2021-09,106.1
2021-10,108.9
2021-11,107.1
2021-12,88.3
2022-01,91.7
2022-02,103.7
2022-03,112.4
2022-04,102.9
2022-05,108.8
2022-06,103.1
2022-07,109.7
2022-08,68.9
2022-09,105.5
2022-10,106.9
2022-11,103.0
2022-12,87.4
2023-01,94.1
2023-02,102.1
2023-03,109.4
2023-04,96.0
2023-05,105.4
2023-06,102.4
2023-07,107.3
2023-08,66.1
2023-09,103.7
2023-10,106.2
2023-11,100.5
2023-12,86.1
2024-01,90.6
2024-02,98.6
2024-03,105.4
2024-04,93.5
2024-05,101.2
2024-06,98.6
2024-07,102.7
2024-08,63.0
2024-09,98.7
2024-10,101.6
2024-11,98.6
2024-12,80.2
2025-01,89.7
2025-02,95.6
2025-03,103.2
2025-04,93.4
2025-05,100.4
2025-06,98.0
2025-07,104.0
2025-08,61.7
2025-09,100.2
2025-10,101.4
2025-11,99.7
2025-12,82.4
2026-01,89.2
2026-02,96.0
2026-03,104.6
2026-04,94.4
2026-05,101.6
2026-06,97.4
2026-07,104.0
