date;ipi
15/02/2024;10.508
15/03/2024;9.831
15/04/2024;10.395
15/05/2024;8.588
14/06/2024;10.395
15/07/2024;9.605
15/08/2024;10.169
13/09/2024;9.266
15/10/2024;9.492
15/11/2024;9.492
13/12/2024;9.04
15/01/2025;10.621
14/02/2025;11.412
14/03/2025;14.124
15/04/2025;10.508
15/05/2025;11.525
13/06/2025;11.412
15/07/2025;11.412
15/08/2025;10.847
15/09/2025;10.847
15/10/2025;11.073
14/11/2025;11.525
15/12/2025;11.073
